id,user_query,correct_jurisdiction,verbatim_truth_expected_rule,is_trick_question,status,response_seconds,answer,retrieved_sources,retrieved_source_groups,automatic_warning_flags,suggested_retrieval_score,suggested_refusal_score,retrieval_hit_manual,generation_faithfulness_manual,citation_quality_manual,refusal_accuracy_manual,root_cause_category,notes
F‑01,What is the minimum wage for a Scotiabank teller in Burnaby?,Federal,Banks are federally regulated; federal minimum wage applies.,False,success,84.05,"No, the information provided does not specify the minimum wage for a Scotiabank teller in Burnaby or any other location. The context given covers general employment standards and minimum wages but does not provide specific rates for different industries or locations within British Columbia.

Source: BC Employment Standards Act",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_getting_paid_for_work.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_minimum_wage.docx,BC Provincial,expected_jurisdiction_not_in_sources,0,N/A,,,,N/A,,
F‑02,How many paid sick days does a Rogers call‑centre employee get?,Federal,"CLC: Up to 10 paid sick days, accrued monthly after 30 days.",False,success,34.87,"Generally, yes, a Rogers call-center employee is entitled to 3 days of unpaid sick leave under the Employment Standards Act (ESA).

Source: BC Employment Standards Act, Section [not provided in retrieved context]",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_COVID19_related_leave.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_paid_sick_leave.docx,BC Provincial,expected_jurisdiction_not_in_sources,0,N/A,,,,N/A,,
F‑03,Does an Air Canada flight attendant earn overtime after 8 hours?,Federal,CLC overtime: 1.5× after exceeding standard weekly hours.,False,success,28.21,"Yes, an Air Canada flight attendant earns overtime after working over 8 hours in a day.

Source: Canada Labour Code, Section [not provided]",D:\AI_Project\data_corpus_final\Federal\Federal_11_Hours_of_Work_Overtime_and_Flexible_Work.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_overtime_employees_under_averaging_agreement.docx,Federal | BC Provincial,,1,N/A,,,,N/A,,
F‑04,Can a Bell technician refuse unsafe work?,Federal,CLC Part II: Right to refuse dangerous work.,False,success,27.99,"Yes, if the refusal puts the life, health or safety of another person directly in danger; or if the danger referred to in subsection (1) is a normal condition of employment.

Source: Canada Labour Code",D:\AI_Project\data_corpus_final\Federal\Federal_06_Labour_Relations_Prohibitions_Complaints_and_Enforcement.docx | D:\AI_Project\data_corpus_final\Federal\Federal_08_OHS_Complaints_Work_Refusal_and_Reprisals.docx,Federal,,1,N/A,,,,N/A,,
F‑05,How long is maternity leave for a WestJet employee?,Federal,17 weeks maternity + up to 63 weeks parental.,False,success,28.28,"An employee at WestJet can be entitled to up to 17 weeks of leave without pay under section 50(1) of the Canada Labour Code.

Source: Canada Labour Code, Section [not applicable as no specific section number is provided]",D:\AI_Project\data_corpus_final\Federal\Federal_14_Medical_Personal_Family_and_Other_Leaves.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_maternity_leave.docx,Federal | BC Provincial,,1,N/A,,,,N/A,,
F‑06,Does a TD Bank employee get holiday pay for working on Canada Day?,Federal,CLC: Paid statutory holiday rules apply.,False,success,32.06,"Generally, yes, TD Bank employees are entitled to and shall be granted a holiday with pay on Canada Day if it falls on a non-working day.

Source: R.S., c. L-1, s. 48",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_getting_paid_for_work.docx | D:\AI_Project\data_corpus_final\Federal\Federal_13_Vacation_General_Holidays_and_Multi_Employer_Employment.docx,BC Provincial | Federal,,1,N/A,,,,N/A,,
F‑07,Can a CN Rail worker file a break complaint with BC ESA?,Federal,Interprovincial rail is federal; complaints go to Labour Program.,False,success,24.78,"I cannot find a verified parameter for this specific jurisdiction layout within the official guides.

Source: I cannot find a verified parameter for this specific jurisdiction layout within the official guides.",D:\AI_Project\data_corpus_final\Federal\Federal_02_Labour_Board_and_Basic_Freedoms.docx | D:\AI_Project\data_corpus_final\Federal\Federal_16_Wages_Expenses_Employee_Protections_and_Genetic_Testing.docx,Federal,,1,N/A,,,,N/A,,
F‑08,What is the overtime rate for a FedEx interprovincial driver?,Federal,CLC: 1.5× overtime after standard weekly limits.,False,success,23.17,"I cannot find a verified parameter for this specific jurisdiction layout within the official guides.

Source: Canada Labour Code",D:\AI_Project\data_corpus_final\Federal\Federal_11_Hours_of_Work_Overtime_and_Flexible_Work.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_overtime_employees_under_averaging_agreement.docx,Federal | BC Provincial,,1,N/A,,,,N/A,,
F‑09,Does a Vancouver‑based airline mechanic qualify for federal bereavement leave?,Federal,"CLC: Up to 10 days, first 3 paid after 3 months.",False,success,24.6,"No.

Source: Canada Labour Code",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_COVID19_related_leave.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_bereavement_leaves.docx,BC Provincial,expected_jurisdiction_not_in_sources,0,N/A,,,,N/A,,
F‑10,Can a bank teller use BC ESA rules for vacation pay?,Federal,Banks follow CLC vacation rules (2–3 weeks based on tenure).,False,success,35.0,"Generally, no.

The retrieved context indicates that the Employment Standards Act (ESA) applies to most workplaces and sets standards for payment, compensation, and working conditions in British Columbia. However, it also mentions that certain types of employees are excluded from ESA coverage, including federally-regulated sectors such as banks. Therefore, a bank teller would not be covered by BC ESA rules for vacation pay.

Source: BC Employment Standards Act",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_how_wages_are_paid.docx | D:\AI_Project\data_corpus_final\Federal\Federal_16_Wages_Expenses_Employee_Protections_and_Genetic_Testing.docx,BC Provincial | Federal,,1,N/A,,,,N/A,,
