id,user_query,correct_jurisdiction,expected_rule,status,http_status,response_seconds,answer,sources,source_details,is_trick_question,source_groups,exact_refusal,retrieval_score_suggestion,refusal_score_suggestion,contains_source_label,contains_internal_or_placeholder_citation,warning_flags,error
F‑01,What is the minimum wage for a Scotiabank teller in Burnaby?,Federal,Banks are federally regulated; federal minimum wage applies.,success,200,84.05,"No, the information provided does not specify the minimum wage for a Scotiabank teller in Burnaby or any other location. The context given covers general employment standards and minimum wages but does not provide specific rates for different industries or locations within British Columbia.

Source: BC Employment Standards Act","['D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_getting_paid_for_work.docx', 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_guide_minimum_wage.docx']","[{'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_getting_paid_for_work.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_getting_paid_for_work.docx', 'loc': {'lines': {'from': 17, 'to': 53}}}, 'content_preview': 'When employment ends, employers must pay employees their final wages.\n\nMinimum wage\n\nAll employees must be paid at least minimum wage. The minimum wage in British Columbia is $18.25 per hour.\n\nMinimum daily pay\n\nAn employee who reports for work must be paid for at least 2 hours, even if they work less than 2 hours.\n\nKeeping records\n\nEmployers must keep a record of the hours worked by each employee and provide a pay statement every payday.\n\nTips and gratuities\n\nEmployers can collect tips and dist'}, {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_guide_minimum_wage.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_guide_minimum_wage.docx', 'loc': {'lines': {'from': 21, 'to': 39}}}, 'content_preview': ""No agreement was reached between the parties on a wage rate\n\nThe wage rate agreed to between the parties can't be determined\n\nSubsection (1)\n\nThe baseline for the minimum wage calculation is $16.75. Each year, this baseline is adjusted according to section 16.2, Annual adjustment of minimum wage.\n\nAs of June 1, 2026, the current minimum wage in British Columbia is $18.25. This is an increase from the rate of $17.85 that was in effect from June 1, 2025 until May 31, 2026.\n\nJune 1, 2026 – $18.25 p""}]",False,['BC Provincial'],False,0,N/A,True,False,['expected_jurisdiction_not_in_sources'],
F‑02,How many paid sick days does a Rogers call‑centre employee get?,Federal,"CLC: Up to 10 paid sick days, accrued monthly after 30 days.",success,200,34.87,"Generally, yes, a Rogers call-center employee is entitled to 3 days of unpaid sick leave under the Employment Standards Act (ESA).

Source: BC Employment Standards Act, Section [not provided in retrieved context]","['D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_COVID19_related_leave.docx', 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_guide_paid_sick_leave.docx']","[{'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_COVID19_related_leave.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_COVID19_related_leave.docx', 'loc': {'lines': {'from': 85, 'to': 105}}}, 'content_preview': 'Regulation\n\nIndividuals who require care and are considered close relatives (whether or not they are related by blood, adoption, marriage or common law partnership)\n\nSubsection (2)\n\nThis subsection lists the various circumstances in which an employee is entitled to take a leave from work.\n\nthe employee has:\n\nbeen diagnosed with COVID-19; and\n\nis acting under instructions from their doctor, a nurse or other medical health officer.\n\nthe employee is in quarantine or self-isolation in accordance wit'}, {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_guide_paid_sick_leave.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_guide_paid_sick_leave.docx', 'loc': {'lines': {'from': 17, 'to': 37}}}, 'content_preview': ""You need to pay your employees their regular wages for these days. They do not have to be taken consecutively.\n\nEmployees are also entitled to 3 days of unpaid sick leave.\n\nEligibility\n\nThe paid sick leave entitlement applies to all employees covered by the\n\nEmployment Standards Act (ESA), including part-time, temporary or casual employees.\n\nThe ESA doesn't cover certain types of employees, including:\n\nFederally-regulated sectors\n\nSelf-employed workers or independent contractors\n\nEmployees in pr""}]",False,['BC Provincial'],False,0,N/A,True,False,['expected_jurisdiction_not_in_sources'],
F‑03,Does an Air Canada flight attendant earn overtime after 8 hours?,Federal,CLC overtime: 1.5× after exceeding standard weekly hours.,success,200,28.21,"Yes, an Air Canada flight attendant earns overtime after working over 8 hours in a day.

Source: Canada Labour Code, Section [not provided]","['D:\\AI_Project\\data_corpus_final\\Federal\\Federal_11_Hours_of_Work_Overtime_and_Flexible_Work.docx', 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_guide_overtime_employees_under_averaging_agreement.docx']","[{'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_11_Hours_of_Work_Overtime_and_Flexible_Work.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_11_Hours_of_Work_Overtime_and_Flexible_Work.docx', 'loc': {'lines': {'from': 1, 'to': 19}}}, 'content_preview': 'Canada Labour Code — Hours of Work, Overtime and Flexible Work\n\nTopic coverage: Part III interpretation and application; standard and maximum hours, overtime, scheduling, modified schedules, permits, emergencies, and flexible-work requests.\n\nPART IIIStandard Hours, Wages, Vacations and Holidays\n\nInterpretation\n\nDefinitions\n\n166\xa0In this Part,\n\ncollective agreement\u2002means an agreement in writing containing terms or conditions of employment of employees, including provisions with reference to rates '}, {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_guide_overtime_employees_under_averaging_agreement.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_guide_overtime_employees_under_averaging_agreement.docx', 'loc': {'lines': {'from': 101, 'to': 111}}}, 'content_preview': 'Employees paid by salary\n\nIf an employee is paid by a weekly, monthly or yearly salary, overtime is payable to that employee if they work over 8 hours in a day or over 40 hours in a week. The regular wage should be calculated as set out in section 1 of the Act. For any hours worked over 8 in a day or over 40 in a week, overtime is owed at one and a half times the regular wage. For any hours worked over 12 in a day, overtime is owed at two times the regular wage. An employee cannot agree (even wi'}]",False,"['Federal', 'BC Provincial']",False,1,N/A,True,False,[],
F‑04,Can a Bell technician refuse unsafe work?,Federal,CLC Part II: Right to refuse dangerous work.,success,200,27.99,"Yes, if the refusal puts the life, health or safety of another person directly in danger; or if the danger referred to in subsection (1) is a normal condition of employment.

Source: Canada Labour Code","['D:\\AI_Project\\data_corpus_final\\Federal\\Federal_06_Labour_Relations_Prohibitions_Complaints_and_Enforcement.docx', 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_08_OHS_Complaints_Work_Refusal_and_Reprisals.docx']","[{'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_06_Labour_Relations_Prohibitions_Complaints_and_Enforcement.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_06_Labour_Relations_Prohibitions_Complaints_and_Enforcement.docx', 'loc': {'lines': {'from': 1, 'to': 27}}}, 'content_preview': 'Canada Labour Code — Labour Relations Prohibitions, Complaints and Enforcement\n\nTopic coverage: Unfair labour practices, complaints, Board remedies, offences, prosecution, general provisions, and provincial-law application.\n\nDIVISION VIProhibitions and Enforcement\n\nStrikes and Lockouts\n\nDefinitions\n\n88\xa0In this Division,\n\nemployer\u2002includes an employers’ organization;\u2002(employeur)\n\ntrade union\u2002includes a council of trade unions.\u2002(syndicat)\n\nStrikes and lockouts prohibited during term of collective '}, {'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_08_OHS_Complaints_Work_Refusal_and_Reprisals.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_08_OHS_Complaints_Work_Refusal_and_Reprisals.docx', 'loc': {'lines': {'from': 1, 'to': 11}}}, 'content_preview': 'Canada Labour Code — OHS Complaints, Work Refusal and Reprisals\n\nTopic coverage: Internal complaint resolution, danger-based work refusal, investigations, directions, appeals, pregnancy/nursing protections, and reprisal complaints.\n\nInternal Complaint Resolution Process\n\nComplaint to supervisor\n\n127.1\xa0(1)\xa0An employee who believes on reasonable grounds that there has been a contravention of this Part or that there is likely to be an accident, injury or illness arising out of, linked with or occur'}]",False,['Federal'],False,1,N/A,True,False,[],
F‑05,How long is maternity leave for a WestJet employee?,Federal,17 weeks maternity + up to 63 weeks parental.,success,200,28.28,"An employee at WestJet can be entitled to up to 17 weeks of leave without pay under section 50(1) of the Canada Labour Code.

Source: Canada Labour Code, Section [not applicable as no specific section number is provided]","['D:\\AI_Project\\data_corpus_final\\Federal\\Federal_14_Medical_Personal_Family_and_Other_Leaves.docx', 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_guide_maternity_leave.docx']","[{'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_14_Medical_Personal_Family_and_Other_Leaves.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_14_Medical_Personal_Family_and_Other_Leaves.docx', 'loc': {'lines': {'from': 1, 'to': 13}}}, 'content_preview': 'Canada Labour Code — Medical, Personal, Family and Other Leaves\n\nTopic coverage: Maternity-related reassignment and leave, maternity/parental and other protected leaves, bereavement, medical leave, work-related illness and injury, and reserve-force leave.\n\nDIVISION VIIMaternity-related Reassignment and Leave and Other Leaves\n\nMaternity-related Reassignment and Leave\n\nReassignment and job modification\n\n204\xa0(1)\xa0An employee who is pregnant or nursing may, during the period from the beginning of the'}, {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_guide_maternity_leave.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_guide_maternity_leave.docx', 'loc': {'lines': {'from': 35, 'to': 51}}}, 'content_preview': 'Policy Interpretation\n\nThis leave is granted to pregnant employees. Maternity leave is available to all pregnant employees, regardless of the length of their employment. The leave is without pay.\n\nIf the employee gives birth after the expected due date, the length of the leave is not extended.\n\nIn addition to the leave granted under s.50(1), (1.1), or (2), an employee can apply for an additional six weeks’ leave under s.50(3), where appropriate.\n\nThe employee may request, and the employer may gr'}]",False,"['Federal', 'BC Provincial']",False,1,N/A,True,False,[],
F‑06,Does a TD Bank employee get holiday pay for working on Canada Day?,Federal,CLC: Paid statutory holiday rules apply.,success,200,32.06,"Generally, yes, TD Bank employees are entitled to and shall be granted a holiday with pay on Canada Day if it falls on a non-working day.

Source: R.S., c. L-1, s. 48","['D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_getting_paid_for_work.docx', 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_13_Vacation_General_Holidays_and_Multi_Employer_Employment.docx']","[{'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_getting_paid_for_work.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_getting_paid_for_work.docx', 'loc': {'lines': {'from': 1, 'to': 19}}}, 'content_preview': 'Getting paid for work\n\nLast updated on May 31, 2026\n\nEmployees must be paid for the work they do. They should get at least minimum wage for hours worked in each pay period.\n\nOn this page\n\nEmployees must be paid twice per month What you can do\n\nEmployees must be paid twice per month\n\nPay periods cannot be longer than 16 days. All money earned, including overtime and statutory holiday pay, must be paid within 8 days after the end of the pay period. Annual vacation pay and wages in an employee’s ti'}, {'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_13_Vacation_General_Holidays_and_Multi_Employer_Employment.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_13_Vacation_General_Holidays_and_Multi_Employer_Employment.docx', 'loc': {'lines': {'from': 273, 'to': 289}}}, 'content_preview': '(b)\xa0be given a holiday with pay at some other time, either by adding it to their annual vacation or by granting it at a time convenient to both the employee and the employer; or\n\n(c)\xa0be paid holiday pay for the first day on which they do not work after that day, if a collective agreement that is binding on the employer and the employee so provides.\n\n(3)\xa0[Repealed, 2018, c. 27, s. 459]\n\n198\xa0[Repealed, 2012, c. 31, s. 221]\n\nHoliday work for managers, etc.\n\n199\xa0Despite section 197, an employee excl'}]",False,"['BC Provincial', 'Federal']",False,1,N/A,True,False,[],
F‑07,Can a CN Rail worker file a break complaint with BC ESA?,Federal,Interprovincial rail is federal; complaints go to Labour Program.,success,200,24.78,"I cannot find a verified parameter for this specific jurisdiction layout within the official guides.

Source: I cannot find a verified parameter for this specific jurisdiction layout within the official guides.","['D:\\AI_Project\\data_corpus_final\\Federal\\Federal_02_Labour_Board_and_Basic_Freedoms.docx', 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_16_Wages_Expenses_Employee_Protections_and_Genetic_Testing.docx']","[{'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_02_Labour_Board_and_Basic_Freedoms.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_02_Labour_Board_and_Basic_Freedoms.docx', 'loc': {'lines': {'from': 1, 'to': 27}}}, 'content_preview': 'Canada Labour Code — Labour Board and Basic Freedoms\n\nTopic coverage: Employee and employer freedoms; Canada Industrial Relations Board organization, powers, procedure, review, and enforcement.\n\nDIVISION IBasic Freedoms\n\nEmployee freedoms\n\n8\xa0(1)\xa0Every employee is free to join the trade union of their choice and to participate in its lawful activities.\n\nEmployer freedoms\n\n(2)\xa0Every employer is free to join the employers’ organization of their choice and to participate in its lawful activities.\n\nD'}, {'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_16_Wages_Expenses_Employee_Protections_and_Genetic_Testing.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_16_Wages_Expenses_Employee_Protections_and_Genetic_Testing.docx', 'loc': {'lines': {'from': 1, 'to': 21}}}, 'content_preview': 'Canada Labour Code — Wages, Expenses, Employee Protections and Genetic Testing\n\nTopic coverage: Garnishment protection, work-related expenses, long-term disability plans, reprisal complaints, payment of wages, and genetic-testing protections.\n\nDIVISION XIIGarnishment\n\nProhibition\n\n238\xa0No employer shall dismiss, suspend, lay off, demote or discipline an employee on the ground that garnishment proceedings may be or have been taken with respect to the employee.\n\nDIVISION XII.1Reimbursement of Work-'}]",False,['Federal'],False,1,N/A,True,False,[],
F‑08,What is the overtime rate for a FedEx interprovincial driver?,Federal,CLC: 1.5× overtime after standard weekly limits.,success,200,23.17,"I cannot find a verified parameter for this specific jurisdiction layout within the official guides.

Source: Canada Labour Code","['D:\\AI_Project\\data_corpus_final\\Federal\\Federal_11_Hours_of_Work_Overtime_and_Flexible_Work.docx', 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_guide_overtime_employees_under_averaging_agreement.docx']","[{'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_11_Hours_of_Work_Overtime_and_Flexible_Work.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_11_Hours_of_Work_Overtime_and_Flexible_Work.docx', 'loc': {'lines': {'from': 1, 'to': 19}}}, 'content_preview': 'Canada Labour Code — Hours of Work, Overtime and Flexible Work\n\nTopic coverage: Part III interpretation and application; standard and maximum hours, overtime, scheduling, modified schedules, permits, emergencies, and flexible-work requests.\n\nPART IIIStandard Hours, Wages, Vacations and Holidays\n\nInterpretation\n\nDefinitions\n\n166\xa0In this Part,\n\ncollective agreement\u2002means an agreement in writing containing terms or conditions of employment of employees, including provisions with reference to rates '}, {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_guide_overtime_employees_under_averaging_agreement.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_guide_overtime_employees_under_averaging_agreement.docx', 'loc': {'lines': {'from': 101, 'to': 111}}}, 'content_preview': 'Employees paid by salary\n\nIf an employee is paid by a weekly, monthly or yearly salary, overtime is payable to that employee if they work over 8 hours in a day or over 40 hours in a week. The regular wage should be calculated as set out in section 1 of the Act. For any hours worked over 8 in a day or over 40 in a week, overtime is owed at one and a half times the regular wage. For any hours worked over 12 in a day, overtime is owed at two times the regular wage. An employee cannot agree (even wi'}]",False,"['Federal', 'BC Provincial']",False,1,N/A,True,False,[],
F‑09,Does a Vancouver‑based airline mechanic qualify for federal bereavement leave?,Federal,"CLC: Up to 10 days, first 3 paid after 3 months.",success,200,24.6,"No.

Source: Canada Labour Code","['D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_COVID19_related_leave.docx', 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_bereavement_leaves.docx']","[{'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_COVID19_related_leave.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_COVID19_related_leave.docx', 'loc': {'lines': {'from': 85, 'to': 105}}}, 'content_preview': 'Regulation\n\nIndividuals who require care and are considered close relatives (whether or not they are related by blood, adoption, marriage or common law partnership)\n\nSubsection (2)\n\nThis subsection lists the various circumstances in which an employee is entitled to take a leave from work.\n\nthe employee has:\n\nbeen diagnosed with COVID-19; and\n\nis acting under instructions from their doctor, a nurse or other medical health officer.\n\nthe employee is in quarantine or self-isolation in accordance wit'}, {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_bereavement_leaves.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_bereavement_leaves.docx', 'loc': {'lines': {'from': 1, 'to': 21}}}, 'content_preview': ""Bereavement Leave\n\nLast updated on April 1, 2021\n\nSummary\n\nThis section explains when an employee qualifies for bereavement leave and the length of the leave. \n\nText of Legislation\n\n53. An employee is entitled to up to 3 days of unpaid leave on the death of a member of the employee's immediate family. \n\nPolicy Interpretation\n\nAn employee is entitled to an unpaid leave of absence of up to 3 days to grieve, attend a funeral, and take care of issues relating to the death of a member of their “immed""}]",False,['BC Provincial'],False,0,N/A,True,False,['expected_jurisdiction_not_in_sources'],
F‑10,Can a bank teller use BC ESA rules for vacation pay?,Federal,Banks follow CLC vacation rules (2–3 weeks based on tenure).,success,200,35.0,"Generally, no.

The retrieved context indicates that the Employment Standards Act (ESA) applies to most workplaces and sets standards for payment, compensation, and working conditions in British Columbia. However, it also mentions that certain types of employees are excluded from ESA coverage, including federally-regulated sectors such as banks. Therefore, a bank teller would not be covered by BC ESA rules for vacation pay.

Source: BC Employment Standards Act","['D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_how_wages_are_paid.docx', 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_16_Wages_Expenses_Employee_Protections_and_Genetic_Testing.docx']","[{'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_how_wages_are_paid.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\BC_Provincial\\bc_employment_standards_how_wages_are_paid.docx', 'loc': {'lines': {'from': 25, 'to': 31}}}, 'content_preview': ""An employer may directly deposit wages to an employee's account if the employee provides the employer with written authorization to do so, or if the collective agreement provides for direct deposit.\n\nFarm labour contractors are excluded from this section of the Act. Section 40.2 of the Employment Standards Regulation requires farm labour contractors to pay wages in Canadian currency by way of direct deposit to the credit of a farm worker's account in a savings institution.\n\nEmployees covered by ""}, {'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_16_Wages_Expenses_Employee_Protections_and_Genetic_Testing.docx', 'metadata': {'source': 'D:\\AI_Project\\data_corpus_final\\Federal\\Federal_16_Wages_Expenses_Employee_Protections_and_Genetic_Testing.docx', 'loc': {'lines': {'from': 1, 'to': 21}}}, 'content_preview': 'Canada Labour Code — Wages, Expenses, Employee Protections and Genetic Testing\n\nTopic coverage: Garnishment protection, work-related expenses, long-term disability plans, reprisal complaints, payment of wages, and genetic-testing protections.\n\nDIVISION XIIGarnishment\n\nProhibition\n\n238\xa0No employer shall dismiss, suspend, lay off, demote or discipline an employee on the ground that garnishment proceedings may be or have been taken with respect to the employee.\n\nDIVISION XII.1Reimbursement of Work-'}]",False,"['BC Provincial', 'Federal']",False,1,N/A,True,False,[],
